is_visible,name,categories,zones,sku,weight,description,price,cost_price,product_image_file,product_image_description,page_title,custom_url,meta_description,display_name,display_region,modal_promo_banner_text,display_badge,display_tasting_tags,display_volume,display_alcoholic_content,pack_type,parent_product_sku,standard_drink_count,menu_tile_promo_text,save_text,display_menu_tile,short_description,brand
TRUE,DIVICI PROSECCO DOC,"Sparkling,Sparkling","Queensland,Australian Capital Territory,New South Wales,South Australia,Default",728342,1,"<p>Prosecco Doc Divicci is a defiantly fresh sparkling from the raunchy Treviso region that delivers a bastion of bubbles, a clan of citrus and band of pears, to your haughty hankering palate. FEELS LIKE: Hitting em' where it hurts. TASTES LIKE: Bubbly bliss. WORKS WELL WITH: Regime changes.</p>",24,13.54,"divici_prosecco_doc_1.png, divici_prosecco_doc_2.png, divici_prosecco_doc_3.png, divici_prosecco_doc_4.png","Product main image, product thumbnail image",,/divici-prosecco-doc/,,Prosecco DOC,Italy,,,"clean,light,organic,delicate,fresh,refreshing",750ml,11.00%,Bottle,728342,6.5,,,TRUE,Divici Prosecco Doc,Divici
TRUE,RED BULL ENERGY DRINK WITH TAURINE CAFFEINE CAN,Mixers,"Queensland,Australian Capital Territory,Victoria,Western Australia,New South Wales,South Australia,Default",114632,1,"<p>When you need a bit of a kick or an energy boost, Red Bull is the drink to choose. Bursting with flavour, this great tasting drink is enjoyed the world over. It originated in Austria and is ideal when served with refreshingly cold ice.
</p>",4,1.92,red_bull_energy_drink_with_taurine_caffeine_can_1.png,"Product main image, product thumbnail image",,,,Energy Drink With Taurine Caffeine Can,Austria,,,"fresh,refreshing",250ml,,Can,114632,0,,,TRUE,Red Bull Energy Drnk,Red Bull
